"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","2512439.361322","1654419.44934","1738184.787288","1853504.142062","1678932.253014","1908922.17036","1770472.898672","1969867.575199","2018168.247444","2508419.488175","2213255.3366","2001074.470269","2197200.830305","2191273.179088","1543268.530747","1559561.233383","1479619.566291","1928433.868902","1463300.2093","1614576.372029","838050","842590","848740","855350","870920","895540","905810","926000","960820","945540","948360","991070","1040470","1083510","1126950","1154760","1159200","1227540","1288080","1276100","1335490","1342560","1381860","1406900","1436410","1436770","1457530","1471620","1478910","","","",
"Afghanistan","AFG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15180","15100","13630","13460","13270","13480","14440","15340","16100","16910","15080","13490","16090","16780","16520","17400","21040","24880","31540","36960","44910","58650","66750","74800","84620","93730","95370","97300","98920","","","",
"Africa Western and Central","AFW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","632745.499852667","609630.645088667","621023.654285667","675711.677879667","585394.181258333","600766.122089","624175.053610667","696430.993460333","630641.380755333","722086.349477","813265.777979","695326.627744","772439.689436","738941.457809","722848.952885","681893.220139333","686712.106991333","717693.310347333","677699.905127","740766.361952667","398170","425410","447010","461910","528770","526710","537710","538720","542300","541880","553740","561370","575870","602120","612550","650720","651900","655600","666010","652550","690440","723970","740720","771100","790820","805370","835230","848650","881570","","","",
"Angola","AGO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42180","42840","43170","43950","44100","48460","46480","46680","49410","48770","49590","51730","55610","65370","67740","67230","68080","74850","76080","79690","84120","86040","84930","88410","88980","90620","91240","87180","79730","","","",
"Albania","ALB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11310","8950","6890","6830","7670","7430","7150","6420","6670","7890","8220","8190","8820","9250","9310","9100","9000","9050","8790","8850","9130","9630","9240","9440","9930","9850","9720","10290","10080","","","",
"Andorra","AND","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430","430","430","440","440","460","490","510","540","570","590","590","600","610","640","660","640","640","640","620","630","600","600","590","580","580","590","590","590","","","",
"Arab World","ARB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","552362.062026","576946.152269","625015.943839","699280.217253","679448.005841","683966.235399","775863.729505","799971.0408","827155.739","883707.02879","927714.23694","838921.40287","888519.74506","902705.57708","888825.86564","740597.16293","769537.09992","774812.32342","803738.85509","841210.94186","985720","1017620","1051350","1113240","1165030","1202200","1246510","1285430","1307530","1333080","1380740","1441760","1498360","1535670","1609430","1721520","1790690","1862570","1974290","2055310","2143440","2174340","2285760","2318020","2395260","2438650","2479110","2518170","2538650","","","",
"United Arab Emirates","ARE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69710","76250","74820","77760","84370","90780","96090","103860","108390","112690","113340","127370","131600","139310","148020","156700","162950","174270","199890","202080","208580","214630","226570","237630","240020","252850","259650","269820","263240","","","",
"Argentina","ARG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243030","248010","252410","254920","260000","260580","272500","274400","278480","283170","284590","277330","274150","295740","310990","315570","330120","343550","347610","328570","334590","344800","348940","358180","356100","362560","366370","367320","365650","","","",
